Latitude,Longitude,ValidDate,AQI,PM2.5,PM10,O3,NO2,CO,SO2
39.13868,-121.61884,09-01-25,32,11.4,32,27,13.3,0.2,0.2
39.20556,-121.82046,09-01-25,84,6.8,17,57,5.1,0.2,0.2
40.26207,-122.09265,09-01-25,75,6.8,17,51,5.1,0.2,0.2
40.170917,-122.255667,09-01-25,54,6.8,17,24,5.1,0.2,0.2
40.170917,-122.255667,09-01-25,49,4.5,26,39,5.1,0.2,0.2
40.734722,-122.941109,09-01-25,5,6,17,24,5.1,0.2,0.2
36.5672,-118.777199,09-01-25,35,6.8,17,24,5.1,0.2,0.2
36.489399,-118.826897,09-01-25,48,10,17,59,5.1,0.2,0.2
36.33252,-119.29095,09-01-25,40,6.8,17,24,5.1,0.2,0.2
36.0319,-119.055,09-01-25,31,25,17,48,5.1,0.2,0.2
37.98178,-120.378551,09-01-25,29,6.8,17,51,5.1,0.2,0.2
34.21017,-118.87051,09-01-25,87,5,17,34,5.1,0.2,0.2
34.40428,-118.80998,09-01-25,80,11,17,38,5.1,0.2,0.2
34.44806,-119.2313,09-01-25,153,15,17,42,5.1,0.2,0.2
34.27632,-118.68369,09-01-25,32,7,24,37,5.1,0.2,0.2
34.290001,-119.313599,09-01-25,139,6.8,17,24,5.1,0.2,0.2
34.25239,-119.14318,09-01-25,176,2,13,25,5.1,0.2,0.2
38.53455,-121.7734,09-01-25,47,14.8,17,32,7.2,0.2,0.2
38.661239,-121.732683,09-01-25,73,6,17,43,5.1,0.2,0.2
38.91661,-122.6084,09-01-25,30,6.8,17,24,5.1,0.2,0.2
37.74646,-120.1437,09-01-25,15,6.8,17,24,5.1,0.2,0.2
38.8303,-122.722,09-01-25,65,6.8,17,24,5.1,0.2,0.2
38.91661,-122.6084,09-01-25,23,6.8,17,24,5.1,0.2,0.2
44.7725,17.185556,09-01-25,31,6.8,17,24,5.1,0.2,0.2
39.8275,-104.9372,09-01-25,6,6.8,17,24,5.1,0.2,0.2
39.828387,-104.938463,09-01-25,56,6.8,17,24,5.1,0.2,0.2
39.8392,-104.9489,09-01-25,54,6.8,17,16,19.7,0.2,0.2
39.5689,-104.9572,09-01-25,94,6.8,17,37,5.1,0.2,0.2
39.638542,-104.569061,09-01-25,18,6.8,17,35,5.1,0.2,0.2
37.205862,-107.254118,09-01-25,38,6.8,17,42,2.3,0.2,0.2
40.164585,-105.100861,09-01-25,30,6.5,17,24,5.1,0.2,0.2
40.1666,-105.1024,09-01-25,26,6.8,17,24,5.1,0.2,0.2
39.9569,-105.2383,09-01-25,27,6.8,17,24,5.1,0.2,0.2
40.070007,-105.220232,09-01-25,44,6.8,17,35,5.1,0.2,0.2
40.0128,-105.2667,09-01-25,48,5.5,10,24,5.1,0.2,0.2
38.739213,-108.073118,09-01-25,85,7.6,16,24,5.1,0.2,0.2
39.751099,-104.987198,09-01-25,66,13.4,17,16,25.8,0.2,0.1
39.7386,-104.9394,09-01-25,44,11.2,23,24,5.1,0.2,0.2
39.7519,-105.0308,09-01-25,27,6.8,17,24,5.1,0.2,0.2
39.781083,-104.95665,09-01-25,18,6.8,17,24,5.1,0.2,0.2
39.7794,-105.00523,09-01-25,49,9.5,23,12,24.9,0.6,0.2
39.732144,-105.015313,09-01-25,70,10.8,17,24,29.4,0.8,0.2
39.785622,-104.988469,09-01-25,46,10.1,17,24,30.7,0.2,0.2
39.5339,-105.07,09-01-25,17,9.9,16,31,5.1,0.2,0.2
38.9583,-104.8167,09-01-25,61,6.8,17,29,5.1,0.2,0.2
38.830895,-104.839243,09-01-25,60,6.8,17,24,5.1,0.2,0.2
38.853097,-104.901286,09-01-25,12,6.8,17,45,5.1,0.2,0.2
38.848,-104.8286,09-01-25,89,7.1,17,24,5.1,0.2,0.2
39.531799,-107.782303,09-01-25,71,14,17,24,5.1,0.2,0.2
39.541801,-107.784103,09-01-25,56,6.8,17,20,5.1,0.2,0.2
38.9564,-106.9858,09-01-25,53,6.8,17,37,5.1,0.2,0.2
40.882198,-106.306107,09-01-25,39,6.8,17,24,5.1,0.2,0.2
39.8006,-105.0992,09-01-25,87,6.8,17,24,5.1,0.2,0.2
39.6389,-105.1389,09-01-25,25,6.8,17,24,5.1,0.2,0.2
39.9128,-105.1883,09-01-25,71,6.8,17,40,5.1,0.2,0.2
39.7419,-105.1786,09-01-25,141,6.8,17,41,5.1,0.2,0.2
39.5415,-105.2984,09-01-25,31,6.8,17,24,5.1,0.2,0.2
37.13678,-107.62863,09-01-25,29,6.7,15,41,4.6,0.2,0.2
37.10258,-107.870219,09-01-25,34,6.5,12,54,0.9,0.2,0.2
40.2778,-105.5453,09-01-25,0,6.8,17,26,5.1,0.2,0.2
40.571259,-105.079765,09-01-25,23,8.1,10,24,5.1,0.2,0.2
40.59254,-105.1411,09-01-25,75,6.8,17,37,5.1,0.2,0.2
40.642029,-105.275032,09-01-25,91,6.8,17,24,5.1,0.2,0.2
40.5764,-105.0794,09-01-25,127,6.8,17,21,5.1,0.3,0.2
39.063599,-108.561096,09-01-25,30,10.4,17,24,5.1,0.2,0.2
39.1306,-108.3139,09-01-25,8,6.8,17,44,5.1,0.2,0.2
39.106701,-108.741096,09-01-25,109,6.8,17,24,5.1,0.2,0.2
40.506889,-107.891022,09-01-25,18,6.8,17,24,5.1,0.2,0.2
40.329253,-108.49423,09-01-25,89,6.8,17,24,5.1,0.2,0.2
37.34997,-108.58737,09-01-25,15,6.8,17,38,5.1,0.2,0.2
37.1983,-108.4903,09-01-25,14,6.8,17,52,5.1,0.2,0.2
38.342763,-108.94499,09-01-25,30,6.8,17,24,5.1,0.2,0.2
39.2403,-105.9831,09-01-25,77,6.8,17,24,5.1,0.2,0.2
39.192966,-106.823183,09-01-25,130,9.4,18,24,5.1,0.2,0.2
40.003899,-107.847504,09-01-25,10,6.8,17,24,5.1,0.2,0.2
40.086941,-108.761002,09-01-25,12,6.8,17,24,5.1,0.2,0.2
40.4147,-104.7061,09-01-25,96,6.5,17,24,5.1,0.2,0.2
